Date,Open,High,Low,Close,Volume
29-Nov-16,51.56,52.13,51.56,51.86,16267266
28-Nov-16,52.12,52.48,51.39,51.58,26518494
25-Nov-16,52.40,52.62,52.04,52.62,9635745
23-Nov-16,52.44,52.63,51.95,52.16,20022318
22-Nov-16,52.43,52.58,51.81,52.22,22816942
21-Nov-16,52.85,52.98,52.02,52.12,23587173
18-Nov-16,52.45,52.98,51.99,52.82,29673414
17-Nov-16,51.39,52.90,50.96,52.49,29133825
16-Nov-16,51.79,52.17,51.36,51.68,26996205
15-Nov-16,52.38,52.59,51.54,52.59,39437914
14-Nov-16,51.91,54.06,51.91,53.22,59154429
11-Nov-16,51.09,51.99,50.73,51.73,46594895
10-Nov-16,48.93,51.93,48.79,51.63,100988797
9-Nov-16,46.33,48.61,46.00,47.99,67615042
8-Nov-16,45.18,45.82,44.87,45.54,19462621
7-Nov-16,45.22,45.69,45.21,45.40,25769393
4-Nov-16,45.36,45.42,44.49,44.60,27391609
3-Nov-16,45.33,45.79,45.25,45.34,14982746
2-Nov-16,45.38,45.51,45.07,45.24,19566574
1-Nov-16,46.12,46.28,45.60,45.99,20020196
31-Oct-16,46.40,46.56,46.00,46.01,20115933
28-Oct-16,46.57,46.64,45.88,46.23,20882042
27-Oct-16,46.42,46.81,46.26,46.41,25661020
26-Oct-16,45.46,46.17,45.44,46.15,25181900
25-Oct-16,45.47,45.80,45.41,45.72,20402012
24-Oct-16,45.45,45.68,45.29,45.52,19303808
21-Oct-16,44.74,45.30,44.66,45.09,21490816
20-Oct-16,44.97,45.29,44.66,44.93,27210558
19-Oct-16,44.86,45.53,44.86,45.26,26976973
18-Oct-16,44.75,45.00,44.41,44.95,23877562
17-Oct-16,44.54,44.76,44.32,44.50,18861278
14-Oct-16,45.17,45.52,44.32,44.71,45418598
13-Oct-16,45.24,45.24,44.28,44.75,44174614
12-Oct-16,45.51,45.83,45.32,45.32,21780463
11-Oct-16,45.80,45.82,45.15,45.45,25442608
10-Oct-16,45.70,45.92,45.44,45.65,21804917
7-Oct-16,45.20,45.45,44.93,45.33,24893588
6-Oct-16,45.18,45.39,44.83,45.18,29878198
5-Oct-16,43.83,45.08,43.83,44.99,40458953
4-Oct-16,43.62,44.09,43.55,43.75,44008293
3-Oct-16,44.12,44.16,43.56,43.83,38197732
30-Sep-16,44.33,44.73,44.10,44.28,54117665
